log,phase,seconds,iters,passes
_logs/bm25_top1_8k_q12_14_filter2.log,filter-proponents,576,2,1
_logs/bm25_top1_8k_q12_14_fixed.log,Training,286,63,1
_logs/bm25_top1_8k_q12_14_rerun.log,Training,292,63,1
_logs/bm25_top1_8k_q13_14_nproc1_fixedquery_heather-0.log,Training,546,63,1
_logs/bm25_top1_8k_q13_14_nproc1_fixedquery_heather-0.log,filter-proponents,550,1,1
_logs/bm25_top1_8k_q13_14_nproc1_retry3_heather-0.log,Training,545,63,1
_logs/bm25_top1_8k_q13_14_single.log,Training,561,63,1
_logs/bm25_top1_8k_q13_14_single_bell2.log,Training,287,63,1
_logs/bm25_top1_8k_q14_16_filter2.log,Training,289,63,1
_logs/bm25_top1_8k_q14_16_filter2.log,filter-proponents,583,2,1
_logs/bm25_top1_8k_q14_16_fixed.log,Training,289,63,1
_logs/bm25_top1_8k_q14_16_rerun.log,Training,287,63,1
_logs/bm25_top1_8k_q15_16_nproc1_fixedquery_clover-0.log,Training,548,63,1
_logs/bm25_top1_8k_q15_16_nproc1_fixedquery_clover-0.log,filter-proponents,552,1,1
_logs/bm25_top1_8k_q15_16_nproc1_retry3_clover-0.log,Training,548,63,1
_logs/bm25_top1_8k_q15_16_single.log,Training,289,63,1
_logs/bm25_top1_8k_q16_18_filter2.log,Training,289,63,1
_logs/bm25_top1_8k_q16_18_filter2.log,filter-proponents,582,2,1
_logs/bm25_top1_8k_q16_18_fixed.log,Training,288,63,1
_logs/bm25_top1_8k_q16_18_rerun.log,Training,289,63,1
_logs/bm25_top1_8k_q17_18_nproc1_fixedquery_heather-0.log,Training,550,63,1
_logs/bm25_top1_8k_q17_18_nproc1_fixedquery_heather-0.log,filter-proponents,554,1,1
_logs/bm25_top1_8k_q17_18_nproc1_retry3_heather-0.log,Training,549,63,1
_logs/bm25_top1_8k_q17_18_single.log,Training,287,63,1
_logs/bm25_top1_8k_q18_20_filter2.log,Training,291,63,1
_logs/bm25_top1_8k_q18_20_filter2.log,filter-proponents,587,2,1
_logs/bm25_top1_8k_q18_20_fixed.log,Training,291,63,1
_logs/bm25_top1_8k_q18_20_rerun.log,Training,287,63,1
_logs/bm25_top1_8k_q19_20_nproc1_fixedquery_clover-0.log,Training,544,63,1
_logs/bm25_top1_8k_q19_20_nproc1_fixedquery_clover-0.log,filter-proponents,547,1,1
_logs/bm25_top1_8k_q1_2_single.log,Training,289,63,1
_logs/bm25_top1_8k_q1_2_single.log,filter-proponents,291,1,1
_logs/bm25_top1_8k_q2_4_filter2.log,Training,288,63,1
_logs/bm25_top1_8k_q2_4_filter2.log,filter-proponents,582,2,1
_logs/bm25_top1_8k_q2_4_fixed.log,Training,289,63,1
_logs/bm25_top1_8k_q2_4_rerun.log,Training,295,63,1
