n,rule,method,qset,query,qld,ctrl_sd,ctrl_n
8000,top1%,magic,in-dist,12,0.04355587007012218,0.0009121902985498309,100
8000,top1%,magic,in-dist,13,0.047283625579439104,0.0015212275320664048,100
8000,top1%,magic,in-dist,14,0.05853514432965312,0.0009720661328174174,100
8000,top1%,magic,in-dist,15,0.05952691078709904,0.001828527427278459,100
8000,top1%,magic,in-dist,16,0.04485255479812622,0.0010036565363407135,100
8000,top1%,magic,in-dist,17,0.18904670479241759,0.0019653341732919216,100
8000,top1%,magic,in-dist,18,0.0785503411289028,0.0014579514972865582,100
8000,top1%,magic,in-dist,19,0.11060000420548022,0.002125290920957923,100
8000,top40,ekfac,in-dist,0,0.010164419807551894,0.0009758349624462426,3
8000,top40,ekfac,in-dist,1,0.012361288070678711,0.00034034359850920737,3
8000,top40,ekfac,in-dist,2,0.012710332870483398,4.9967893573921174e-05,3
8000,top40,ekfac,in-dist,3,0.009571631751896348,0.00041520700324326754,3
8000,top40,ekfac,in-dist,4,0.011701822280883789,0.00044305119081400335,3
8000,top40,ekfac,in-dist,5,0.01926191648817621,0.0007091313018463552,3
8000,top40,ekfac,in-dist,6,0.016715923964511603,0.0003915567940566689,3
8000,top40,ekfac,in-dist,7,0.02066485086834291,0.0008009875891730189,3
8000,top40,ekfac,in-dist,8,0.006109317124355584,0.00030827350565232337,3
8000,top40,ekfac,in-dist,9,0.016453266143798828,0.000759463757276535,3
8000,top40,ekfac,in-dist,10,0.014738480247615371,0.0006859077257104218,3
8000,top40,ekfac,in-dist,11,0.029311100661288947,0.001260228455066681,3
8000,top40,ekfac,in-dist,12,0.012701352447038516,0.00034378241980448365,3
8000,top40,ekfac,in-dist,13,0.006597757339477539,0.001745907124131918,3
8000,top40,ekfac,in-dist,14,0.00915837287902832,8.727683598408476e-05,3
8000,top40,ekfac,in-dist,15,0.008236964538809843,0.0014789266278967261,3
8000,top40,ekfac,in-dist,16,0.009824355423916131,0.0005810593720525503,3
8000,top40,ekfac,in-dist,17,0.16131393110845238,0.0016396654536947608,3
8000,top40,ekfac,in-dist,18,0.009355227142805234,0.00012137503654230386,3
8000,top40,ekfac,in-dist,19,0.018685420363908634,0.0002347764966543764,3
8000,top40,ekfac,held-out,0,0.01102121670555789,0.0017756785964593291,3
8000,top40,ekfac,held-out,1,0.00947133700537961,0.000158240320160985,3
8000,top40,ekfac,held-out,2,0.008363723754882812,0.0004530399164650589,3
8000,top40,ekfac,held-out,3,0.017812808364396915,0.0010511490982025862,3
8000,top40,ekfac,held-out,4,0.013594945266959257,0.0008833259344100952,3
8000,top40,ekfac,held-out,5,0.011068503052229062,0.0004905819077976048,3
8000,top40,ekfac,held-out,6,0.01042596498155035,0.0005638476577587426,3
8000,top40,ekfac,held-out,7,0.0066699981689453125,0.00034945333027280867,3
8000,top40,ekfac,held-out,8,0.007682164519792423,0.0005963045405223966,3
8000,top40,ekfac,held-out,9,0.011122941970825195,3.192673102603294e-05,3
8000,top40,ekfac,held-out,10,0.012417157486197539,0.0001944287505466491,3
8000,top40,ekfac,held-out,11,0.008841117221891182,0.0003352782514411956,3
8000,top40,ekfac,held-out,12,0.03054388365126215,8.729713590582833e-05,3
8000,top40,ekfac,held-out,13,0.007795572280883789,0.0004943389794789255,3
8000,top40,ekfac,held-out,14,0.013627211250422988,0.00047857456956990063,3
8000,top40,ekfac,held-out,15,0.03566519419337055,9.072017564903945e-05,3
8000,top40,ekfac,held-out,16,0.00666991870093625,0.00020516986842267215,3
8000,top40,ekfac,held-out,17,0.009059111296664923,0.0003931864339392632,3
8000,top40,ekfac,held-out,18,0.009785811105757602,0.0007390413084067404,3
8000,top40,ekfac,held-out,19,0.00973399481154047,0.0009812286589294672,3
8000,top40,bm25,in-dist,0,0.009557344913482667,0.0010453354718232052,100
8000,top40,bm25,in-dist,1,0.01005500316619873,0.0009042187924503893,100
8000,top40,bm25,in-dist,2,0.004509773254394531,0.0012553257073440157,100
8000,top40,bm25,in-dist,3,0.005903186798095703,0.0009516408245904929,100
8000,top40,bm25,in-dist,4,0.0066629362106323245,0.0012117289072139084,100
8000,top40,bm25,in-dist,5,0.008898816108703612,0.001234469309157312,100
8000,top40,bm25,in-dist,6,0.0061791610717773435,0.0010040363874471863,100
8000,top40,bm25,in-dist,7,0.0073681163787841794,0.0012708710279892644,100
8000,top40,bm25,in-dist,8,0.006771936416625977,0.001155041859091887,100
8000,top40,bm25,in-dist,9,0.0073000693321228025,0.0010048837786461302,100
8000,top40,bm25,in-dist,10,0.005406522750854492,0.0011194911217338272,100
8000,top40,bm25,in-dist,11,0.02497314214706421,0.0014099602556622165,100
8000,top40,bm25,in-dist,12,0.010463788509368896,0.000907614625606445,100
8000,top40,bm25,in-dist,13,0.011738228797912597,0.0015133833077999178,100
8000,top40,bm25,in-dist,14,0.005556983947753906,0.0009672912096472646,100
